0,1,2,3,4,5,6,7,8
212,REC Power Development and Consultancy Limited,0,0,0,0,0,0,0
213,BPCL-KIAL Fuel Farm Pvt. Ltd.,0,0,0,0,0,0,0
214,Powergid Khetri Transmission Ltd.,0,0,0,0,0,0,0
215,AGRINNOVATE INDIA LTD.,0,0,0,0,0,0,0
216,NMDC POWER LTD.,0,0,0,0,0,0,0
217,MILLENNIUM TELECOM LTD.,0,0,0,0,0,0,0
218,BEL OPTRONICS DEVICES LTD.,0,0,0,0,0,0,0
219,PUNJAB ASHOK HOTEL COMPANY LTD.,0,0,0,0,0,0,0
220,NAINI AEROSPACE LTD.,0,0,0,0,0,0,0
221,GRID CONDUCTOR LTD.,0,0,0,0,0,0,0
222,SETHUSAMUDRAM CORPN. LTD.,0,0,0,0,0,0,0
223,POWERGRID NM TRANMISSION LTD.,0,0,0,0,0,0,0
224,RITES INFRASTRUCTURE SERVICES LTD.,0,0,0,0,0,0,0
225,ODISHA INFRAPOWER LTD.,0,0,0,0,0,0,0
226,ASSAM ASHOK HOTEL CORPN. LTD.,0,0,0,0,0,0,0
227,DONYI POLO ASHOK HOTEL LTD.,0,0,0,0,0,0,0
228,NBCC ENGINEERING AND CONSULTANCY LTD.,0,0,0,0,0,0,0
229,GOA-TAMNAR TRANSMISSION PROJECT LTD,0,0,0,0,0,0,0
230,IRCON LUDHIANA RUPNAGAR HIGHWAY LTD.,0,0,0,0,0,0,0
231,AAI CARGO LOGISTICS & ALLIED SERVICES COMPANY LTD.,0,0,0,0,0,0,0
232,GLIDERS INDIA LIMITED (GIL),0,0,0,0,0,0,0
233,COASTAL KARNATAKA POWER LTD.,0,0,0,0,0,0,0
234,POWER GRID SOUTHERN INTERCONNECTOR TRANSMISSION SYSTEM LTD.,0,0,0,0,0,0,0
235,BHARAT WAGON & ENGG. CO. LTD.,0,0,0,0,0,0,0
236,Goldmohur Design & Apparel Parks Ltd.,0,0,0,0,0,0,0
237,IOC Global Capital Management IFSC Ltd.,0,0,0,0,0,0,0
238,NMDC CSR Foundation,0,0,0,0,0,0,0
239,Powergrid Bikaner Transmission System Limited,0,0,0,0,0,0,0
240,MJSJ COAL LTD.,0,0,0,0,0,0,0
241,KARNATAKA VIJAY NAGAR STEEL LTD.,0,0,0,0,0,0,0
242,India Ports Global Ltd,0,0,0,0,0,0,0
243,OVL Overseas IFSC Limited,0,0,0,0,0,0,0
244,Powergrid Varanasi Transmission Ltd.,0,0,0,0,0,0,0
245,PUNJAB LOGISTIC INFRASTRUCTURE LTD.,0,0,0,0,0,0,0
246,UTKAL ASHOK HOTEL CORPN. LTD.,0,0,0,0,0,0,0
247,ERSS XXI TRANSMISSION LTD,0,0,0,0,0,0,0
248,GHATAMPUR TRANSMISSION LTD.,0,0,0,0,0,0,0
249,IRCON HARIDWAR BYPASS LIMITED,0,0,0,0,0,0,0
250,IRCON BHOJ MORBE EXPRESSWAY LTD.,0,0,0,0,0,0,0
251,TROOP COMFORTS LIMITED,0,0,0,0,0,0,0
252,POWER GRID PARLI TRANSMISSION LTD.,0,0,0,0,0,0,0
253,POWER GRID WARORA TRANSMISSION LTD.,0,0,0,0,0,0,0
254,MNH SHAKTI LTD.,0,0,0,0,0,0,0
255,HSRC Infra Services Ltd.,0,0,0,0,0,0,0
256,Powergrid Ajmer Phagi Transmission Ltd.,0,0,0,0,0,0,0
257,KARNATAKA TRADE PROMOTION ORGANISATION,0,0,0,0,0,0,0
258,PRIZE PETROLEUM COMPANY LTD.,0,0,0,0,0,0,0
259,PFC CAPITAL ADVISORY SERVICE LTD.,0,0,0,0,0,0,0
260,PFC CONSULTING LTD.,0,0,0,0,0,0,0
261,FRESH & HEALTHY ENTERPRISES LTD.,0,0,0,0,0,0,0
262,IRCON INFRASTRUCTURE & SERVICES LTD.,0,0,0,0,0,0,0
263,CHEYYUR INFRA LTD.,0,0,0,0,0,0,0
264,NATIONAL BACKWARD CLASSES FINANCE & DEVP.CO.,0,0,0,0,0,0,0
265,EASTERN INVESTMENT LTD.,0,0,0,0,0,0,0
266,PONDICHERRY ASHOK HOTEL CORPN. LTD.,0,0,0,0,0,0,0
267,POWER EQUITY CAPITAL ADVISORS PVT. LTD.,0,0,0,0,0,0,0
268,CHANDIGARH INTERNATIONAL AIRPORT LTD.,0,0,0,0,0,0,0
269,REC TRANSMISSION PROJECTS CO. LTD.,0,0,0,0,0,0,0
270,AIR INDIA EXPRESS LTD.,0,0,0,0,0,0,0
271,JAMMU & KASHMIR DEVELOPMENT FINANCE CORPORATION LTD,0,0,0,0,0,0,0
272,WR-NR POWER TRANSMISSION LTD,0,0,0,0,0,0,0
273,IRCON RENAWABLE POWER LTD,0,0,0,0,0,0,0
274,National Divyangjan Finance & Development Corporation,0,0,0,0,0,0,0
275,National Land Monetization Corporation Limited,0,0,0,0,0,0,0
276,KUMARAKRUPPA FRONTIER HOTELS LTD.,0,0,0,0,0,0,0
277,IRCON DAVANAGERE HAVERI HIGHWAY LTD.,0,0,0,0,0,0,0
278,IRCON AKLOKI-SHIRSAD EXPRESSWAY LTD.,0,0,0,0,0,0,0
279,AI Assets Holding Ltd.,0,0,0,0,0,0,0
280,Apollo Design Apparel Parks Ltd.,0,0,0,0,0,0,0
281,Delhi Police Housing Corporation Ltd.,0,0,0,0,0,0,0
282,Powergrid Gomti Yamuna Transmission Limited,0,0,0,0,0,0,0
283,Powergrid Ramgarh Transmission Ltd.,0,0,0,0,0,0,0
284,Powergrid Teleservices Ltd.,0,0,0,0,0,0,0
285,HINDUSTAN FLUOROCARBONS LIMITED,0,0,0,0,0,0,0
286,HINDUSTAN ORGANIC CHEMICALS LTD.,0,0,0,0,0,0,0
287,DINGCHANG TRANSMISSION LTD.,0,0,0,0,0,0,0
288,JHARKHAND INFRAPOWER LTD.,0,0,0,0,0,0,0
289,MEDINIPUR-JEERAT TRANSMISSION LTD.,0,0,0,0,0,0,0
290,TANDA TRANSMISSION COMPANY LTD.,0,0,0,0,0,0,0
291,NORTH EASTERN HANDICRAFTS & HANDLOOM DEV.CORPN. LTD.,0,0,0,0,0,0,0
292,THE BISRA STONE LIME COMPANY LTD.,0,0,0,0,0,0,0
293,BIJAWAR-VIDARBHA TRANSMISSION LTD,0,0,0,0,0,0,0
294,IRCON VADODARA KIM EXPRESSWAY LTD.,0,0,0,0,0,0,0
295,NABINAGAR POWER GENERATING COMPANY LTD.,0,0,0,0,0,0,0
